,ds,yhat_upper,yhat
784,2023-10-15,2.0,1.0
785,2023-10-16,2.0,1.0
786,2023-10-17,2.0,1.0
787,2023-10-18,2.0,1.0
788,2023-10-19,2.0,1.0
789,2023-10-20,2.0,1.0
790,2023-10-21,2.0,1.0
791,2023-10-22,2.0,1.0
792,2023-10-23,2.0,1.0
793,2023-10-24,2.0,1.0
794,2023-10-25,2.0,1.0
795,2023-10-26,2.0,1.0
796,2023-10-27,2.0,1.0
797,2023-10-28,2.0,1.0
798,2023-10-29,2.0,1.0
799,2023-10-30,2.0,1.0
800,2023-10-31,2.0,1.0
801,2023-11-01,2.0,1.0
802,2023-11-02,2.0,1.0
803,2023-11-03,2.0,1.0
804,2023-11-04,2.0,1.0
805,2023-11-05,2.0,1.0
806,2023-11-06,2.0,1.0
807,2023-11-07,2.0,1.0
808,2023-11-08,2.0,1.0
809,2023-11-09,2.0,1.0
810,2023-11-10,2.0,1.0
811,2023-11-11,2.0,1.0
812,2023-11-12,2.0,1.0
813,2023-11-13,2.0,1.0
814,2023-11-14,2.0,1.0
815,2023-11-15,2.0,1.0
816,2023-11-16,2.0,1.0
817,2023-11-17,2.0,1.0
818,2023-11-18,2.0,1.0
819,2023-11-19,2.0,1.0
820,2023-11-20,2.0,1.0
821,2023-11-21,2.0,1.0
822,2023-11-22,2.0,1.0
823,2023-11-23,2.0,1.0
824,2023-11-24,2.0,1.0
825,2023-11-25,2.0,1.0
826,2023-11-26,2.0,1.0
827,2023-11-27,2.0,1.0
828,2023-11-28,2.0,1.0
829,2023-11-29,2.0,1.0
830,2023-11-30,2.0,1.0
831,2023-12-01,1.0,0.0
832,2023-12-02,2.0,1.0
833,2023-12-03,2.0,1.0
834,2023-12-04,2.0,1.0
835,2023-12-05,2.0,1.0
836,2023-12-06,2.0,1.0
837,2023-12-07,2.0,0.0
838,2023-12-08,1.0,0.0
839,2023-12-09,2.0,0.0
840,2023-12-10,1.0,0.0
841,2023-12-11,2.0,1.0
842,2023-12-12,2.0,1.0
843,2023-12-13,2.0,1.0
844,2023-12-14,1.0,0.0
845,2023-12-15,1.0,0.0
846,2023-12-16,1.0,0.0
847,2023-12-17,1.0,0.0
848,2023-12-18,2.0,0.0
849,2023-12-19,2.0,1.0
850,2023-12-20,1.0,0.0
851,2023-12-21,1.0,0.0
852,2023-12-22,1.0,0.0
853,2023-12-23,1.0,0.0
854,2023-12-24,1.0,0.0
855,2023-12-25,2.0,0.0
856,2023-12-26,2.0,1.0
857,2023-12-27,2.0,1.0
858,2023-12-28,1.0,0.0
859,2023-12-29,1.0,0.0
860,2023-12-30,2.0,0.0
861,2023-12-31,2.0,0.0
862,2024-01-01,2.0,1.0
863,2024-01-02,2.0,1.0
864,2024-01-03,2.0,1.0
865,2024-01-04,2.0,0.0
866,2024-01-05,1.0,0.0
867,2024-01-06,2.0,0.0
868,2024-01-07,2.0,0.0
869,2024-01-08,2.0,1.0
870,2024-01-09,2.0,1.0
871,2024-01-10,2.0,1.0
872,2024-01-11,2.0,0.0
873,2024-01-12,1.0,0.0
874,2024-01-13,2.0,0.0
875,2024-01-14,2.0,0.0
876,2024-01-15,2.0,1.0
877,2024-01-16,2.0,1.0
878,2024-01-17,2.0,1.0
879,2024-01-18,2.0,0.0
880,2024-01-19,1.0,0.0
881,2024-01-20,2.0,0.0
882,2024-01-21,2.0,0.0
883,2024-01-22,2.0,1.0
884,2024-01-23,2.0,1.0
885,2024-01-24,2.0,1.0
886,2024-01-25,2.0,0.0
887,2024-01-26,2.0,0.0
888,2024-01-27,2.0,0.0
889,2024-01-28,2.0,0.0
890,2024-01-29,2.0,1.0
891,2024-01-30,2.0,1.0
892,2024-01-31,2.0,1.0
893,2024-02-01,2.0,0.0
894,2024-02-02,2.0,0.0
